사이트,회사명,제목,링크
사람인,(주)아이샵케어,토스플레이스 자회사 [iShopCARE] 대규모 채용｜ CX·마케팅·영업·개발·보안·운영 外,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54013556&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)사람인,[사람인] 정보보안운영 담당자(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54047274&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[월340만 가능/삼성역 코엑스.무역센터] 주야 교대근무보안사원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53911389&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[식사제공/연차별도] 다이소 부산물류센터보안사원 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53983174&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)알라딘커뮤니케이션,[알라딘] 정보보호팀 정보보호담당자 (기술보안),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53904124&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,한국타이어앤테크놀로지(주),IT 정보보안기획 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54072325&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)더존비즈온,"[정보보안,보안관제]더존비즈온 정보보안인재 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54085668&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,엔큐리티(주),"[IT정보보안/사세확장] 부문별 채용 (네트워크보안,총무,인사)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947368&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)다날핀테크,[다날핀테크]보안담당자(보안/인프라/정보보호) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53716201&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,에스앤피플주식회사,[스타벅스/본사] 정보보안업무 사무보조 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023597&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,Kim & Chang (김앤장 법률사무소),"[김.장 법률사무소] IT 부문(개발, IT 운영, IT 지원, 정보보안)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53964251&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,에어포트서비스,[김해국제공항] 항공보안요원 정규 / 파트타임(하반기),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54042788&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)삼구아이앤씨,[신입가능] 부산 명지 스타필드보안요원 모집(교대조),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54040557&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)삼구아이앤씨,ASMK 동탄 공장보안대원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54056947&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,백상코퍼레이션(주),월280만/ 공덕대형빌딩/보안대원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947448&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)유니에스,[초보가능/주주야야비비/SBS 목동방송센터보안직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54084199&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[잠실 롯데 어드벤처] 주간.야간 남.여보안사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53843169&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[경남 양산/3교대 근무] 쿠팡 양산 센터보안사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53843135&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[잠실 롯데월드타워 전망대/ 주간근무] 안전스텝.보안- 남.녀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53858673&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[종각역/sc제일은행 본점] 주간보안.야간순환보안채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53911377&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[부산 해운대/3교대] 웨스틴조선호텔 부산 /보안사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53952207&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,"(파트선택, 착석근무 병행) 잠실 롯데 시그니엘호텔보안직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53977803&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[월 274-338만] 현대백화점 충청점 (주야 교대조)보안사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54037931&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[야간고정] GS타워보안사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54054799&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[출퇴근가능자] LG파주이노텍보안사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54044664&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[잠실 롯데월드타워 / 주주야야휴휴 근무. 월 287만]보안사원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54069104&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)프로에스콤,[선택가능] 김해 롯데워터파크보안사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54058952&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,한화호텔앤드리조트(주),[을지로/한화] 오피스보안파트 직원 모집(교대근로),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54038785&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)도루코,정보보안및 IT 인프라 담당자 경력사원 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53806303&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)스페이스프로,방산보안및 정보보호 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53953143&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,두나무(주),[두나무] IT보안헬프데스크 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53967915&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)소만사,네트워크 정보보안SW 기술 지원 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54056812&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)금아하이드파워,(주)금아하이드파워 정보보안(기술적보안) 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54073224&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)티오에스코리아,[송도/중견기업/제조IT] 사내 시스템 운영 및보안관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54060027&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,넷마블(주),게임보안운영 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53914719&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,에스케이쉴더스(주),MSS사업 Hybrid보안관제 경력직 상시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53473721&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)시큐브,"네트워크보안, 웹 개발, 기술지원, 영업 부문별 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53946420&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)무등기업,전산(IT)팀원 채용 공고 - 전산/보안관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53706098&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)이동의즐거움,정보보안팀장(CISO 지정) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54000551&location=ts&searchword=%EB%B3%B4%EC%95%88&searchType=search&paid_fl=n&search_uuid=3b7755a5-5187-4733-973c-ee1f4efd0d1a
사람인,(주)테라정보보호,2026년 (주)테라정보보호보안 솔루션 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53888540&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,자연보호환경㈜,자연보호환경(주) 직영기사 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53889273&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,자연보호환경㈜,자연보호환경(주) 영업지원&영업관리 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53929417&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,자연보호환경㈜,자연보호환경(주) 경리/회계 사무원 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53929438&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,(재)한국교육환경보호원,한국교육환경보호원 [일반직] 채용 재공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54073808&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,(재)한국교육환경보호원,한국교육환경보호원 [기간제근로자] 채용 재공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54074007&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,하나린단기보호소,하나린단기보호소 생활재활교사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54040778&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,청당더봄노인주간보호센터,[청당더봄노인주간보호센터] 요양보호사 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998244&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,보성요양보호사교육원,요양보호사교육원 상담 및 행정 업무 보실 실장님 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53932843&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,(주)부경연제주간보호센터,부경연제주간보호센터 요양보호사 선생님을 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54003836&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,(주)부경연제주간보호센터,(주)부경연제주간보호센터 사회복지사 선생님을 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54097462&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,서대문요양보호사교육원,요양보호사교육원 외래강사 채용(간호사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53635997&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,청춘학교주간보호센터,80대 여자어르신 케어할 방문요양보호사님을 구합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53582104&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,우리동네나이팅게일주간보호센터파주점,[방문요양] 영등포지역 방문요양보호사 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53623264&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,봄재활주간보호센터,봄재활주간보호센터 주간보호센터 사회복지사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53677849&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,청춘재활주간보호센터,요양보호사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53613569&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,정담 재활 주야간보호센터,"요양보호사 선생님을 모심. (경력무관 ,서울중구)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53770326&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,명품재활주간보호센터,명품재활주간보호센터 요양보호사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53829646&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,올리사랑주간보호재활운동센터,노인주간보호센터 사회복지사 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53847350&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,케세라 주간보호센터,케세라 주간보호센터 영양사 경력 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53852277&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,남천재활주간보호센터,남천 노인재활 주간보호센터 요양보호사 경력자우대 운전필수,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53867277&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,굿모닝주간보호센터,굿모닝주간보호센터 물리치료사 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53877960&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,오케이주간보호센터,오케이주간보호센터 사회복지사  모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53899898&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,(주)케어링주간보호센터광명점,[케어링] 주간보호요양보호사 채용 (광명점),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53888914&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,영산주간보호재가센터,[사무직] 창녕 영산면 영산주간보호센터 사무원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53915512&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,재활도울주야간보호센터,(급구)주간보호사회복지사 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53915992&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,영산주간보호재가센터,창녕군 영산면 주간보호센터 요양보호사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53918846&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,케세라 주간보호센터,케세라에서 같이 일 할  요양보호사 선생님 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53930231&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,장유효주야간보호센터,장유 효 주야간보호센터에서 요양보호사 선생님을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53912980&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,장유효주야간보호센터,장유 효 주야간보호센터에서 사무원을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53914005&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,오케이주간보호센터,오케이주간보호센터 간호조무사 채용공고 (추가채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53931030&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,하나노인주간보호센터,요양보호사  채용합니다 - 경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53957356&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,가족사랑주간보호센터,가족사랑주간보호센터 영양사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53958971&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,굿모닝주간보호센터,굿모닝주간보호센터에서 주간보호작업치료사를 찾고 있어요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53975315&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,봄재활주간보호센터,대구 봄재활주간보호센터 조리사 채용 합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53976409&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,참사랑너나울주간보호센터1호,참사랑너나울주간보호센터 사회복지사 채용 공고(육아휴직 대체),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53984131&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,마주봄주간보호센터,마주봄주간보호센터 운전원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53957289&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,우리동네나이팅게일주간보호센터파주점,[용인 기흥 방문요양]  요양보호사 선생님 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53989779&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,경대재활주간보호센터,요양보호사 계약직 채용 / 경력무관입니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53988586&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,서울주간보호센터,[서울형]서울주간보호센터 요양보호사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53970874&location=ts&searchword=%EB%B3%B4%ED%98%B8&searchType=search&paid_fl=n&search_uuid=d588893a-a293-40a5-9f24-c9cc2e210db0
사람인,쿠팡(주),SecurityEngineer (Cloud InfrastructureSecurity),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53955456&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,한시큐리티(주),[한시큐리티] Red Team / OffensiveSecurityEngineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54029044&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,(주)에릭슨코리아파트너스,[Ericsson] Product & InformationSecurityArchitect,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54077788&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,(주)비바리퍼블리카,[토스뱅크]SecurityEngineer (네트워크 보안),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53606197&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,토스씨엑스(주),InformationSecurityManager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53874450&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,(주)유니코써치,[Tech. 스타트업] IT &SecurityManager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54080643&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,제주신화월드(주),제주신화월드Security부문 정규직 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53780809&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,(주)니어스랩,[운영]IT보안 담당(SecurityEngineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53986554&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,플렉스(주),[플렉스팀] ApplicationSecurityEngineer Intern (채용연계형),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54017755&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
사람인,갓루트,[경력 무관] OffensiveSecurity컨설턴트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53688705&location=ts&searchword=security&searchType=search&paid_fl=n&search_uuid=ab5708b7-ed8d-484f-8ad9-6501c338f24d
