사이트,회사명,제목,링크
사람인,(주)에버스핀,취약점분석 및 정보보안 모의해킹 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54040941&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,한국아이티진흥(주),정보보안취약점점검 (경력) 채용 - 김천,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53738771&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,엔에이치엔케이씨피,[NHN KCP] 보안취약점진단 및 관리 담당(2~5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53880019&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)나일소프트,국내영업(보안취약점/ 로그분석) 신입&경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54048563&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)나일소프트,보안제품 개발/보안취약점분석 신입&경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54048367&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)나일소프트,보안제품 기술지원 엔지니어(보안취약점/로그분석 )신입 & 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54048992&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,씨엠티정보통신(주),관제센터 웹 및 정보시스템취약점진단 CERT 모집(세종),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53675136&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,한경정보기술(주),[정규직][경북·경남]취약점점검 서버·네트워크 운영인력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53833984&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)아도스,모의해킹/취약점진단 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53980268&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,주식회사 티시스 아이티,보안진단(취약점진단/보안성검토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53851328&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
